N,종목명,현재가,전일비,등락률,액면가
1951.0,KBSTAR 200철강소재,8055.0,80.0,+1.00%,0.0
1952.0,TIGER 가격조정,21165.0,35.0,+0.17%,0.0
1953.0,ARIRANG 글로벌인공지능산업MV,8300.0,120.0,+1.47%,0.0
1954.0,KBSTAR 200커뮤니케이션서비스,11490.0,235.0,+2.09%,0.0
1955.0,KBSTAR 200생활소비재,6880.0,195.0,+2.92%,0.0
1956.0,KBSTAR 200에너지화학,10335.0,120.0,-1.15%,0.0
1957.0,KBSTAR 200산업재,11240.0,40.0,+0.36%,0.0
1958.0,KBSTAR 200경기소비재,8770.0,35.0,+0.40%,0.0
1.0,삼성전자,60400.0,1200.0,+2.03%,100.0,5969783.0,49.92,9.8,13.92
2.0,LG에너지솔루션,515000.0,16000.0,-3.01%,500.0,234000.0,5.13,209.86,10.68
3.0,SK하이닉스,81500.0,2700.0,+3.43%,5000.0,728002.0,49.84,6.4,16.84
4.0,삼성바이오로직스,827000.0,0.0,0.00%,2500.0,71174.0,10.76,112.27,8.21
5.0,삼성전자우,54700.0,1500.0,+2.82%,100.0,822887.0,71.72,8.87,
6.0,삼성SDI,645000.0,48000.0,-6.93%,5000.0,68765.0,47.22,26.45,8.45
7.0,LG화학,627000.0,43000.0,-6.42%,5000.0,70592.0,48.15,22.06,18.47
8.0,현대차,162500.0,500.0,+0.31%,5000.0,213668.0,29.05,7.25,6.84
9.0,NAVER,195000.0,9500.0,+5.12%,100.0,164049.0,48.75,34.36,106.72
10.0,기아,65200.0,500.0,+0.77%,5000.0,405363.0,36.23,5.72,14.69
11.0,카카오,58100.0,2600.0,+4.68%,100.0,445410.0,26.85,16.66,17.1
12.0,셀트리온,180500.0,4000.0,+2.27%,1000.0,140805.0,21.51,42.8,16.04
13.0,POSCO홀딩스,284000.0,2500.0,-0.87%,5000.0,84571.0,51.48,4.65,13.97
14.0,삼성물산,118500.0,1000.0,+0.85%,100.0,186887.0,16.88,12.52,5.4
15.0,KB금융,52600.0,2200.0,+4.37%,5000.0,408897.0,73.11,4.66,9.8
16.0,현대모비스,208500.0,2500.0,+1.21%,5000.0,94285.0,36.4,8.23,6.87
17.0,신한지주,38000.0,600.0,+1.60%,5000.0,508785.0,62.17,4.24,8.8
18.0,SK이노베이션,168500.0,5000.0,+3.06%,5000.0,92466.0,25.67,7.13,1.91
19.0,SK,203500.0,500.0,-0.25%,200.0,74149.0,22.57,4.41,10.19
20.0,포스코케미칼,193000.0,11000.0,-5.39%,500.0,77463.0,8.74,92.97,7.92
21.0,LG전자,91000.0,1200.0,+1.34%,5000.0,163648.0,26.19,10.41,6.32
22.0,삼성생명,73700.0,900.0,+1.24%,500.0,200000.0,13.58,20.8,4.01
23.0,하나금융지주,46450.0,1650.0,+3.68%,5000.0,295903.0,70.29,3.75,10.86
24.0,한국전력,21000.0,1650.0,+8.53%,5000.0,641964.0,14.29,-0.66,-7.99
25.0,KT&G,98000.0,900.0,-0.91%,5000.0,137292.0,43.21,11.58,10.74
26.0,카카오뱅크,28100.0,650.0,+2.37%,5000.0,476714.0,13.56,55.98,4.91
27.0,LG,80400.0,800.0,+1.01%,5000.0,157301.0,36.33,5.86,12.36
28.0,고려아연,602000.0,2000.0,-0.33%,5000.0,19863.0,22.91,15.73,11.07
29.0,LG생활건강,722000.0,43000.0,+6.33%,5000.0,15618.0,36.27,26.51,16.65
30.0,SK텔레콤,50000.0,200.0,-0.40%,100.0,218833.0,46.05,11.57,13.63
31.0,HMM,22050.0,1200.0,+5.76%,5000.0,489039.0,9.53,0.94,88.62
32.0,삼성전기,138000.0,1500.0,+1.10%,5000.0,74694.0,27.91,11.23,14.29
33.0,현대중공업,116000.0,1500.0,-1.28%,5000.0,88773.0,6.36,-14.5,-14.87
34.0,엔씨소프트,468000.0,2000.0,+0.43%,500.0,21954.0,43.76,17.38,12.62
35.0,두산에너빌리티,16000.0,50.0,+0.31%,5000.0,638308.0,11.72,320.0,10.67
36.0,삼성에스디에스,127500.0,1500.0,+1.19%,500.0,77378.0,13.84,10.28,8.8
37.0,KT,37700.0,100.0,+0.27%,5000.0,261112.0,43.56,6.91,9.36
38.0,삼성화재,207000.0,2500.0,+1.22%,500.0,47375.0,50.19,9.04,7.09
39.0,대한항공,26050.0,50.0,+0.19%,5000.0,368221.0,16.16,5.19,11.6
40.0,S-Oil,84400.0,1700.0,+2.06%,2500.0,112583.0,79.9,4.55,21.76
41.0,우리금융지주,12950.0,400.0,+3.19%,5000.0,728061.0,40.23,3.09,10.59
42.0,한화솔루션,46950.0,1000.0,-2.09%,5000.0,191278.0,25.06,30.87,8.79
43.0,크래프톤,180500.0,1000.0,+0.56%,100.0,49072.0,29.27,13.17,17.86
44.0,카카오페이,66100.0,2800.0,+4.42%,500.0,132962.0,42.85,-333.84,-2.45
45.0,기업은행,11050.0,200.0,+1.84%,5000.0,744301.0,13.78,3.37,9.21
46.0,아모레퍼시픽,139500.0,4000.0,+2.95%,500.0,58493.0,24.87,140.91,4.2
47.0,LG이노텍,286500.0,4500.0,+1.60%,5000.0,23667.0,24.0,6.53,30.94
48.0,현대글로비스,173000.0,4000.0,+2.37%,500.0,37500.0,47.47,5.97,14.41
49.0,하이브,156500.0,11500.0,+7.93%,500.0,41353.0,14.68,23.65,6.83
50.0,롯데케미칼,186000.0,10000.0,-5.10%,5000.0,34275.0,26.03,28.94,9.87
51.0,SK바이오사이언스,82900.0,900.0,-1.07%,500.0,76784.0,4.74,22.8,38.08
52.0,F&F,150500.0,4000.0,-2.59%,100.0,38307.0,12.67,14.23,
53.0,SK바이오팜,72900.0,1400.0,+1.96%,500.0,78313.0,6.54,-117.77,15.75
54.0,CJ제일제당,378500.0,6500.0,+1.75%,5000.0,15054.0,24.35,9.3,10.76
55.0,KODEX 200,31230.0,360.0,+1.17%,0.0,172900.0,11.56,,
56.0,강원랜드,24650.0,0.0,0.00%,500.0,213940.0,22.98,55.27,-0.33
57.0,LG유플러스,12050.0,150.0,+1.26%,5000.0,436611.0,38.02,8.82,9.47
